name_s,lats_s,lngs_s,vicinity_s,id_s
"Malco Mobiles And Gadgets",17.34466190000000,78.52842940000000,"Shop No. 123, Near Venkateswara Hospital, Sairam Nagar Colony, Bairamal Guda Road, Sriram Nagar Colony, Karmanghat, Hyderabad",ChIJ-8zLQoSYyzsRhnbrp9MY-Ls
"Ss tanks /stainless Steel Tanks",17.43060870000000,78.55215930000000,"4-4-70/46, Koundinya Nagar , Nacharam,, +919885655133, Hyderabad",ChIJ-RHCKMWQyzsRn0Xn0v76Vvk
"VV Furnitures & Interiors",17.32995650000000,78.52027269999999,"Satya Sai Nagar Colony, RCI Road, Balapur, Hyderabad",ChIJ1XnyW4eiyzsRymSpd_zBM14
"Normak Fashions",17.41093910000000,78.58573650000000,"9-47, Hanuman Nagar, Boduppal, Boduppal, Hyderabad",ChIJ1ZpeY7-eyzsRm-Ix4Hllmek
"Sindhu Digitals",17.36689600000000,78.54023250000000,"Kothapet Road, HUDA Complex, Saroornagar, Hyderabad",ChIJ2ebM1euYyzsR-yedPocFOKI
"Sai Ram Medical & General Store",17.45097310000000,78.49804800000000,"Picket, West Marredpally, Secunderabad",ChIJ46E54j-ayzsR8ePImp-93qQ
"Mody Ford",17.35478480000000,78.55437119999999,"No 3, 11/467, Sivaganga Colony, LB Nagar, Hyderabad",ChIJ5dnnRKSYyzsROFUEefA8E4Q
"Kapico (India) Private Limited (Maruti Suzuki)",17.34662400000000,78.55143310000000,"Place No 41, Sy No 66/7, Near Big Bazar, L B Nagar, L B Nagar, Hyderabad",ChIJ5dnnRKSYyzsRWwcIDaCJXuY
Bata,17.35921700000000,78.53635600000000,"Svs Residency, Gayatri Nagar, Saroornagar, Hyderabad",ChIJ5feHluyYyzsR5t-JK2xhkTQ
"RS Brothers-Dilshuknagar",17.36823400000000,78.52635000000000,"Door No. 9-36, Beside Megha Theatre, Dilsukhnagar, Hyderabad",ChIJ5feHluyYyzsRqcH_ZjMhY6U
"SR Bakery /APSRTC Booking Point",17.32009300000000,78.56072200000000,"Nagarjuna Sagar Road, Chaitanya Nagar, B N Reddy Nagar, Hyderabad",ChIJ67wkyh6iyzsRyiJPjVe81v4
Hetero,17.32164220000000,78.56528700000000,"BN Reddy Road, Self Finance Colony, Vanasthalipuram, Hyderabad",ChIJ6X2_CB6iyzsRTvZQ70XM-oE
"Vasavi Sales Corporation",17.44888510000000,78.67900829999999,Ghatkesar,ChIJ9SLysgt2yzsRLqnkb6NNEfk
"Dusseldorf Clothing Company",17.41018970000000,78.56864689999999,"254, Street No 1, Sai Nagar, Uppal, Hyderabad",ChIJ9xNIXjGZyzsRBHaaV7tZJa0
"Sri Sai Ram Bakers",17.32386000000000,78.52716199999999,"Meerpet X Road, 4-212, Meerpet, Hyderabad",ChIJaQ0Gl2SiyzsRC_NxQNbI6Ho
"South India Shopping Mall-Kothapet",17.36455640000000,78.54367570000000,"GHMC No 11-13-1428/3, Plot.No.8, 9 & 10, Survey No:7-C, DSNR, National Highway 65, Margadarshi Colony, Kothapet, Hyderabad",ChIJAQAAAMOYyzsRx1-7jRjfUWQ
BigC,17.41685000000000,78.54358100000000,"D.NO. 3 , NOMA ENCLAVE, Habsiguda, Hyderabad",ChIJAQAAQDWXyzsRWo9hh_-gwQg
Univercell,17.44970319999999,78.67936630000000,"Door No:7-185/2, Next To Marymatha Church, Hyderabad-Warangal High Way Warangal-Hyderabad Road, Balaji Nagar, Ghatkesar",ChIJAzSGSw12yzsROryltCKEbiM
"The Hyderabad Labels",17.41826200000000,78.57566700000000,"H.N:1-75/5/32, SRI NEAR SUBSTATION,, Sai Bhavani Nagar, Surya Hills, Boduppal, Hyderabad",ChIJB5OI6LaeyzsRqWcdnUKRivo
"Andhra Sales Corporation",17.38146600000000,78.47561000000000,"5-2-444, Risala Abdullah, Behind Petrol Pump, New Osman Gunj Road, Risala Abdulla Colony, Hyderabad",ChIJB5xetCqYyzsRPhTmdd_f5jM
"Crazzy Collections",17.34460600000000,78.50669100000000,"Beside Icici Bank Lane, Santhosh Nagar, Hyderabad",ChIJB98Xk2mYyzsRO8IuQPO-7Pw
"Apollo Pharmacy",17.32087700000000,78.56166499999999,"Sriram Nagar Colony, B N Reddy Nagar, Vanasthalipuram, Hyderabad",ChIJc9Ogux6iyzsRUp4Jm4qcuJU
"Bridgestone Sri Venkateshwara Agencies Wheel Tech",17.40516620000000,78.58785410000000,"Plot No. 1, Survey No. 44, Opp. APSRTC, Warangal Road, Near Uppal Bus Depot, Hyderabad",ChIJdZNx8cGeyzsRlwfYQ352wiE
"SHREE LAKSHMI TIMBERS",17.40324900000000,78.57421800000000,"Uppal, Secunderabad",ChIJD_mq0M6eyzsRHvUwd4j6P_8
"P C World",17.44030020000000,78.49647530000000,"Plot No 1- 2 ,Shop No 98, Kiranmala Building, Sarojini Devi Road,, Secunderabad",ChIJeUZ1vBCayzsRq4kAUr4K80g
"Philips Lighting - Philips Light Lounge & Philips Light Studio - Ved Electricals",17.43363500000000,78.48852699999999,"2-2-120, Mahatma Gandhi Road, Secunderabad",ChIJfa9_mxyayzsRvHeT-VEtMhA
Hallmark,17.44818990000000,78.50349560000000,"Street Number 8, Nehru Nagar, West Marredpally, Secunderabad",ChIJFa_mLTmayzsRlbksrt6C2o0
"Rikesh Infovision",17.40848630000000,78.56878730000001,"street no: 3, Friends Colony, Sai Nagar, Boduppal, Hyderabad",ChIJFRGYicqeyzsRSkRntECzzaM
"Vasavi Sales Corporation",17.44889470000000,78.67907070000000,Ghatkesar,ChIJG28hMQ12yzsR2XaDCXNwi_4
"Shoe Zone",17.42701800000000,78.54986579999999,"1-96/26, Vs Plaza, Nacharam, Hyderabad",ChIJG4Lch82ZyzsR5OP1s74Vx84
"Reliance Fresh",17.35394000000000,78.50822000000000,"M No 17-1-383/11/102&103 Sri Radha Residency,Plno:11, Vinaynagar - Saidbad Road, Saroor Nagar West, Saidabad, Hyderabad",ChIJG4Lch82ZyzsR69iNjeaerRw
"T V S Suzuki Ltd",17.38504400000000,78.48667100000000,"7-2-109, G S Reddy Comp, Bairamaguda, Bairamaguda, Hyderabad",ChIJG4Lch82ZyzsRVv-W1zUhPyY
"Sadguru Sai Packaging Industries",17.32308730000000,78.53485069999999,"Plot 170, 5-222/1, Krishna Nagar Colony, Meerpet 1moula Ali, Moula-ali, Moula-ali, Hyderabad",ChIJG4Lch82ZyzsRYYhE_lUldjI
"Whirlpool Washing Machine Service Center Hyderabad",17.31659270000000,78.55838969999999,"Chaitanya Nagar, B N Reddy Nagar, Hyderabad",ChIJHbJOkBiiyzsRsvJ8lJfsFtQ
"Sports World",17.38522850000000,78.48267550000000,"Bank Street, Koti, Hyderabad",ChIJhfL9T9KZyzsRSSTT90jEgRw
"Van Heusen",17.44144430000000,78.49020110000000,"No. 1, Krishna's, 2-235, Park Lane, Secunderabad",ChIJi14mkRqayzsRUrDS-3DS5bQ
"Sky Sports",17.36809800000000,78.53923800000000,"11-9-105,Beside RelianceTrends,Laxminagar colony,, Kothapet X Roads, Hyderabad",ChIJI3jsVumYyzsRFemIlGQCx90
